"manufacturer","Manufacturer Part #","Product Name","Product Description","Click-Out URL","Price","Category: Other Format","Category: NexTag Numeric ID","Image URL","Ground Shipping","Stock Status","Product Condition","Marketing Message","Weight","Cost-per-Click","UPC","Distributor ID","MUZE ID","ISBN"
"Shimano","1599937","Shimano Dura-Ace 7801 10-Speed Chain","The new 10-speed Dura-Ace chain is lighter by an astonishing 24g, yet maintains the same durability as the 9-speed predecessor. The chain also adds a new fluid-smooth feel to the performance of the overall system.","http://www.bicyclebuys.com/item/1599937/nt",49.99,"Bicycles > Chains > Chains","","http://www.bicyclebuys.com/productimages/1599937.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0790009PART","Pearl Izumi P.R.O. Barrier Shoe Cover","Pearl Izumi P.R.O. Barrier Shoe Cover is designed for the coldest rides out there. 3mm neoprene and microfleece lining provide ample insulation for any condituion.","http://www.bicyclebuys.com/item/0790009PART/nt",49.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790009PART.jpg","","Yes","New","","",.45,"","","",""
"Look","0486670PART","Look Delta Cleats","Look Delta Cleats for the three previous models of pedals to the Kéo.","http://www.bicyclebuys.com/item/0486670PART/nt",16.99,"Bicycles > Clipless Pedals > Road Clipless Pedals","","http://www.bicyclebuys.com/productimages/0486670PART.jpg","","Yes","New","","",.45,"","","",""
"Pedros","1736446","Pedro's Repair Stand","Pedro's new repair stand combines all the features you want from a home stand, easy to set-up and portable.  The climb has a trigger actuated linear movement of the clamp jaws.  Will hold up to 2.5 or 65mm tube. Head rotates 360 degrees.","http://www.bicyclebuys.com/item/1736446/nt",199.99,"Bicycles > Tools > Bicycle Repair Stands","","http://www.bicyclebuys.com/productimages/1736446.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Cinelli","1602511PART","Cinelli Handlebar Tape","The original Cinelli handlebar tape, in a mixture of polyurethanes with a high content of natural cork, which absorbs shock and sweat and ensures a safe, comfortable grip.","http://www.bicyclebuys.com/item/1602511PART/nt",12.99,"Bicycles > Handlebar Tape/Grips > Handlebar Tape / Grips","","http://www.bicyclebuys.com/productimages/1602511PART.jpg","","Yes","New","","",.45,"","","",""
"Profile Designs","0100018","Profile Design Aero Drink Bracket","Profile Design Aero Drink Bracket. This bracket is needed to mount Aero Drink System to the aerobars.","http://www.bicyclebuys.com/item/0100018/nt",11.99,"Bicycles > Hydration > Water Bottles","","http://www.bicyclebuys.com/productimages/0100018.jpg","","Yes","New","","",.45,"","","",""
"Kryptonite","1729853","Kryptonite New York Standard (3000) U-lock","Kryptonite New York Liberty (3000) U-lock is made of 5/8 (15mm) case-hardened Kryptonium. Steel shackle resists bolt cutters and flexes with leverage attacks.  7-pin pick and drill resistant tubular locking mechanism.$2000 Anti-Theft Guarantee Offer in th","http://www.bicyclebuys.com/item/1729853/nt",59.99,"Bicycles > Locks > U-Locks","","http://www.bicyclebuys.com/productimages/1729853.jpg","","Yes","New","","",.45,"","","",""
"Minoura","0129939","Minoura Training Riser Block","Simple device to make your training more enjoyable. The Mag Riser levels out the bike's front end. Fits 26 and 27/700C wheels. The most compact riser block on the market.Size: 200x103x60 mm","http://www.bicyclebuys.com/item/0129939/nt",11.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0129939.jpg","","Yes","New","","",.45,"","","",""
"Shimano","0414453","Shimano SM-SH52 SPD Cleats","Shimano SM-SH52 SPD Cleats are designed specifically for the PD-M858 Pedal. The stepped ridge provides a more secure mounting into the pedal itself and as such, will not work with any other SPD-compatible pedal.","http://www.bicyclebuys.com/item/0414453/nt",19.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0414453.jpg","","Yes","New","","",.45,"","","",""
"CatEye","0104613","Cat Eye V3 Triple Wireless Computer (Speed-Cadence-Heart Rate) TR300TW","Cat Eye V3 Triple Wireless Computer (Speed/Cadence/Heart Rate) TR300TW.  Redefining elegance and power. The latest 2.4GHz digital data transmission virtually eliminates interference and cross-talk, while the large screen simultaneously displays speed, cad","http://www.bicyclebuys.com/item/0104613/nt",179.99,"Bicycles > Heart Rate Monitors > Heart Rate Monitors","","http://www.bicyclebuys.com/productimages/0104613.jpg","0.00","Yes","New","Limited Time Free Shipping","",.45,"","","",""
"CatEye","0114172","Cat Eye Bicycle Reflector Set","Cat Eye Bicycle Reflector Set.  Makes you easy to see, and hard to run over.  Buy it if you want to live.","http://www.bicyclebuys.com/item/0114172/nt",9.99,"Bicycles > Miscellaneous Components > Reflective Wear","","http://www.bicyclebuys.com/productimages/0114172.jpg","","Yes","New","","",.45,"","","",""
"Park","1736217","Park SR-1 Chain Whip","This combination chain whip and freewheel/lockring remover wrench is heat treated to prevent bending and flexing. It also features pins to keep chain in place and a comfortable handle.","http://www.bicyclebuys.com/item/1736217/nt",19.99,"Bicycles > Tools > Drivetrain Tools","","http://www.bicyclebuys.com/productimages/1736217.jpg","","Yes","New","","",.45,"","","",""
"Park","0119745","Park Professional Floor Pump PFP-4","The Park PFP-4 Professional Floor Pump is a heavy duty floor pump, packed with features and built for years of dependable service.","http://www.bicyclebuys.com/item/0119745/nt",44.99,"Bicycles > Pumps > Floor Pumps","","http://www.bicyclebuys.com/productimages/0119745.jpg","","Yes","New","","",.45,"","","",""
"Bell","0139956","Bell Flip Mirror (For Bell Metro, Citi, Muni, Arella Helmets)","The Flip Mirror the world's first cool helmet mirror. It seamlessly integrates into the visor and features a high quality, infinitely adjustable optic mirror.It folds back up and out of sight when not needed.","http://www.bicyclebuys.com/item/0139956/nt",11.691,"Bicycles > Helmets > Mirrors","","http://www.bicyclebuys.com/productimages/0139956.jpg","","Yes","New","","",.45,"","","",""
"Topeak","0119741","Topeak MTX Dual Side Frame (TC1009)","Topeak MTX Dual Side Frame Clip-on pannier supports for the popular QR Beam Rack MTX and EX. Extend your range with these lightweight supports.","http://www.bicyclebuys.com/item/0119741/nt",24.99,"Bicycles > Bike Racks > Bicycle Racks","","http://www.bicyclebuys.com/productimages/0119741.jpg","","Yes","New","","",.45,"","","",""
"Delta Cycle Corporation","0129913","Delta Monet 1 Bike Fold Rack","Delta Monet 1 Bike Fold Rack easily mounts to any wall.  Clean modern look, holds a bike and shoes or helmets or tools.","http://www.bicyclebuys.com/item/0129913/nt",34.99,"Bicycles > Storage Systems > Wall Storage Systems","","http://www.bicyclebuys.com/productimages/0129913.jpg","","Yes","New","","",.45,"","","",""
"Modolo","1603023PART","Modolo Venus Handlebar Black","Five-stars comfort introduced in 1998: higher raise for Gran Fondo allowes a very comfortable rest-giving position, that is extremely appreciated especially in the long distance races and a very short shape Venus than decrease to 12 mm. the brake-lever di","http://www.bicyclebuys.com/item/1603023PART/nt",89.99,"Bicycles > Handlebars > Road Handlebars","","http://www.bicyclebuys.com/productimages/1603023PART.jpg","","Yes","New","","",.45,"","","",""
"Bellwether","0720782PART","Bellwether Strech Aqua-No Booties","Bellwether Strech Aqua-No Booties helps keep your feet dry and warm in the harshest of conditions with Aqua-no bootie. Features multi layered seamsealed construction, combining waterproof performance with breathability.","http://www.bicyclebuys.com/item/0720782PART/nt",39.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0720782PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0701193PART","Louis Garneau Oslo Chamois Tight 2","When you need protection against the elements, the Oslo Chamois Tights will provide the warmth and moisture transfer needed for your cold day ride.","http://www.bicyclebuys.com/item/0701193PART/nt",79.99,"Bicycles > Tights > Cycling Tights","","http://www.bicyclebuys.com/productimages/0701193PART.jpg","","Yes","New","","",.45,"","","",""
"Park","1766675","Park Home Mechanic (PW-5) Pedal Wrench","Park PW-5 Pedal Wrench.  The PW-5 is perfect for the home workshop or event tool box. Although economically priced, this 15mm pedal wrench, like all Park Tool products, is built to last. Made from heat-treated spring steel and vinyl dipped for comfort. 11","http://www.bicyclebuys.com/item/1766675/nt",10.99,"Bicycles > Tools > Drivetrain Tools","","http://www.bicyclebuys.com/productimages/1766675.jpg","","Yes","New","","",.45,"","","",""
"Polar Bottle","0100134PART","Polar Bottle Insulated 24oz Bottle in Colors","The Polar Bottle's double-wall construction incorporates a thermal barrier of air to keep heat out and keep cold in. In addition, a foil layer reflects solar rays for additional protection.   PBA Free technology.","http://www.bicyclebuys.com/item/0100134PART/nt",8.99,"Bicycles > Hydration > Water Bottles","","http://www.bicyclebuys.com/productimages/0100134PART.jpg","","Yes","New","","",.45,"","","",""
"Avenir","0930634","Avenir Plush Plus Large Comfort Saddle","The Avenir Plush (Passage) Large Comfort Saddle is a big squishy comfort saddle perfect for any bike. It has a soft foam top covered by a wonderful lycra outer. At the rear of the rails, 2 coil springs absorb and road shock that would otherwise course thr","http://www.bicyclebuys.com/item/0930634/nt",24.99,"Bicycles > Seats > Comfort / Cruiser Seats","","http://www.bicyclebuys.com/productimages/1630634.jpg","","Yes","New","","",.45,"","","",""
"SIDI","SIGE66NPART","Sidi Genius 6.6 Carbon Black Cycling Shoe","Sidi Genius 6.6 Carbon shoe is the most comfortable, most technically advanced shoe available. Constructed from a patented full  carbon/carbon grid sole and a supple Lorica/mesh upper.  A new advanced Heel Security System prevents power robbing heel lift,","http://www.bicyclebuys.com/item/SIGE66NPART/nt",299.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/SIGE66BPART.jpg","0.00","Yes","New","Limited Time Free Shipping","",.45,"","","",""
"Louis Garneau","0790047PART","Louis Garneau Venti CFS Sock","Louis Garneau Venti CFS socks have mesh vents in the upper and under foot for added ventilation.  Cushioned zone at the upper foot helps relieve pressure common with power stroke.","http://www.bicyclebuys.com/item/0790047PART/nt",10.99,"Bicycles > Socks > Cycling Socks","","http://www.bicyclebuys.com/productimages/0790047PART.jpg","","Yes","New","","",.45,"","","",""
"Park","0766676","Park RK-41 Portable Race/Ride Kit","Park RK-41 Portable Race Ride Kit is a custom built backpack that transforms into a portable workstation right before your eyes. Park Tool built the ultimate event kit using the latest backpack technology and the best tools available.","http://www.bicyclebuys.com/item/0766676/nt",349.95,"Bicycles > Tools > Bicycle Tool Sets","","http://www.bicyclebuys.com/productimages/0766676.jpg","0.00","Yes","New","New Low Price Free Shipping","",.45,"","","",""
"BikeHard","0114597","BikeHard PumpHard 3.1 Floor Pump","The BikeHard PumpHard 3.1 floor pump is a high pressure floor pump designed to last many years of professional use.  A 6063 T6 aluminum dual barrel is mounted by a aluminum die-cast jointer to a steel base plate. Below that base plate is a rubber pad to p","http://www.bicyclebuys.com/item/0114597/nt",39.99,"Bicycles > Pumps > Floor Pumps","","http://www.bicyclebuys.com/productimages/0114597.jpg","","Yes","New","","",.45,"","","",""
"Kurt Kinetic","0123029","Kurt Kinetic Trainer Mat","Kurt Kinetic Trainer Mat.  This is a simple necessity for any cyclist who cherishes a clean training environment. The Kinetic Floor Mat keeps floors sweat-free and reduces vibration. When you ride on a trainer, the vibrations make the entire setup move sl","http://www.bicyclebuys.com/item/0123029/nt",59.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0123029.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0104607","BlackBurn Atom 2.0 Cycling Computer","Blackburn Atom 2.0 Cycling Computer. Wired version of the Atom has a few advantages over wireless. There's cost. There's less interference to worry about. And there's one less battery to replace. The navigation is similarly simple. The right button at the","http://www.bicyclebuys.com/item/0104607/nt",17.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0104607.jpg","","Yes","New","New Low Price ","",.45,"","","",""
"Pearl Izumi","0740475PART","Pearl Izumi Liner Short","Pearl Izumi Liner short features the comfy MTB 3D Chamois and can be worn under any short or tight for enhanced riding comfort.","http://www.bicyclebuys.com/item/0740475PART/nt",29.99,"Bicycles > Shorts > Cycle Shorts","","http://www.bicyclebuys.com/productimages/0740475PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1010217PART","Shimano HG 30 9/Speed Hyperglide Cassette","Shimano HG 30 9 speed Mega range Hyperglide cassette.  Available in 11-32 or 11-34 configuration.  Works great with Shimano shifters for precise, smooth shifting.","http://www.bicyclebuys.com/item/1010217PART/nt",19.99,"Bicycles > Cassettes > Cassettes","","http://www.bicyclebuys.com/productimages/1010217PART.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Uvex","0780057PART","Uvex Blaze Sunglasses","The Uvex Blaze sports glasses come with interchangeable lenses and are great for all weather and all riding conditions. They are one of the best overall values for fit, function, and style that we offer. A high-quality glasses case is included.","http://www.bicyclebuys.com/item/0780057PART/nt",29.99,"Bicycles > Eyewear > Eyewear","","http://www.bicyclebuys.com/productimages/0780057PART.jpg","","Yes","New","","",.45,"","","",""
"Sugoi","0790307PART","Sugoi Blast Women's Tri Tank","You've trained; you're ready. Now slip into the Sugoi Blast Women's Tri Tank and focus on the miles ahead.","http://www.bicyclebuys.com/item/0790307PART/nt",49.99,"Bicycles > Jerseys > Jerseys","","http://www.bicyclebuys.com/productimages/0790307PART.jpg","","Yes","New","","",.45,"","","",""
"Time","TIUTC0PART","Time ULTeam Tri Carbon Road Shoe","Time ULTeam Tri Carbon Road Shoe has the technology for performance and the looks for style.  Carbon sole with integrated VIBRASER technical zone under the cleat and integrated into the fiber lay-up for the entire length of the carbon sole.  Toe Vents as ","http://www.bicyclebuys.com/item/TIUTC0PART/nt",139.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/TIUTC0PART.jpg","","Yes","New","","",.45,"","","",""
"Mavic","MACT0PART","Mavic Cyclo Tour Touring/Spin Shoe","Mavic Cyclo Tour Touring/Spin Shoe takes a no compromise approach offering a lightweight, high performance shoe that offers all day comfort as well as durable walkability thanks to its Contagrip® walking surface.  Ideal for long tours or hard workouts in ","http://www.bicyclebuys.com/item/MACT0PART/nt",119.95,"Bicycles > Shoes > Spinning Shoes","","http://www.bicyclebuys.com/productimages/MACT0PART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Beljum Budder","1799003","Beljum Budder Skin Lubricant And Chamois Cream 8 oz","Beljum Budder provides maximum protection from chafing and other friction related problems. Used by some of the biggest names in endurance cycling, Our surprisingly light, yet highly effective formula contains a unique blend of soothing botanicals, essent","http://www.bicyclebuys.com/item/1799003/nt",16.99,"Bicycles > Body Lotions > Body Lotions","","http://www.bicyclebuys.com/productimages/1799003.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHM230LPART","Shimano M230L Mountain Shoe","Shimano M230L Mountain Shoe.  Not every foot is the same, even on the same human.  Enter Shimano's SH-M230L shoe, a custom moldable shoe designed to fit YOUR feet.  The moldable upper with 3 offset straps and carbon sole are developed for racers and embra","http://www.bicyclebuys.com/item/SHM230LPART/nt",149.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHM230LPART.jpg","","Yes","New","New Low Price ","",.45,"","","",""
"KENDA","0601474","Kenda Downhill Tube 24 x 2.4-2.75","Kenda Downhill Tube 24x2.4-2.75. Schrader Valve. Great tube for downhill riders who needs 2.25mm thick beefy tube all around. Works really well for Unicycles!","http://www.bicyclebuys.com/item/0601474/nt",11.99,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/0601474.jpg","","Yes","New","","",.45,"","","",""
"Kurt Kinetic","0123028","Kurt Kinetic Power Computer (T-725)","The Kinetic Wired Power Computer is designed to give you accurate power (watt) readings when you are using a Kinetic Trainer. All other functions (speed, distance, cadence, calorie burn, altimeter, etc) are accurate both on and off the trainer. Because of","http://www.bicyclebuys.com/item/0123028/nt",64.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0123028.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Louis Garneau","LGWTV0PART","Louis Garneau Women's Terra Vent Cycling Shoe","Louis Garneau Women's Terra Vent Cycling Shoe is great for urban and recreational road riders. Designed for warmer weather, this shoe is what we call a cycling sandal. It features well placed tri-oval cutouts throughout the shoe providing maximum ventilat","http://www.bicyclebuys.com/item/LGWTV0PART/nt",84.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/LGWTV0PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790190PART","Louis Garneau Optimum Balaclava","Louis Garneau Optimum Balaclava keeps your head, face, and neck warm. It is a must that you keep those areas warm during cold days, because your body loses tremendous amount of heat through them.","http://www.bicyclebuys.com/item/0790190PART/nt",16.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790190.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1011029PART","Shimano Ultegra CS-6700 Cassette","Shimano Ultegra CS-6700 Cassette. A more rigid aluminum carrier keeps the cogs in check when making shifts under load and each shift is lightning quick thanks to revised tooth profiles. The available ratios provide combinations that work particularly well","http://www.bicyclebuys.com/item/1011029PART/nt",89.99,"Bicycles > Cassettes > Cassettes","","http://www.bicyclebuys.com/productimages/1011029PART.jpg","","Yes","New","","",.45,"","","",""
"Look","0790381PART","Look Windtex Full Finger Glove","Look Windtex Full Finger Glove keeps you warm on those long cold rides. Not bulky, not too thin with gripping surfaces on the index and middle fingers. Thermal insulation allows the glove to be lightweight while retaining precious body heat in your finger","http://www.bicyclebuys.com/item/0790381PART/nt",42.99,"Bicycles > Gloves > Cycling Gloves","","http://www.bicyclebuys.com/productimages/0790381PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHMT42NVPART","Shimano SH-MT42NV All Terrain Shoe","The Shimano SH-MT42NV All Terrain Shoe is an updated version of Shimano's popular MT41G.  Same comfort and performance as the previous model, with a much sleeker and modern design.  <","http://www.bicyclebuys.com/item/SHMT42NVPART/nt",69.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHMT42NVPART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0740471PART","Pearl Izumi Elite Barrier Convertible Jacket","Pearl Izumi Elite Barrier Convertible Jacket. Updating the classic Vagabond Jacket, the ELITE Barrier Convertible Jacket features zip-off sleeves, and can be used as a jacket or vest. Barrier fabric provides outstanding wind and water resistance for almos","http://www.bicyclebuys.com/item/0740471PART/nt",84.99,"Bicycles > Jackets > Jackets","","http://www.bicyclebuys.com/productimages/0740471PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790182PART","Louis Garneau Lemmon Jersey","Louis Garneau Lemmon Jersey is a pro fit jersey at a great price. Featuring full length zip for good ventilation and easy in and out. Made with Airdry and mesh fabric with flatlock seam construction for moisture wicking capabilities and comfort.","http://www.bicyclebuys.com/item/0790182PART/nt",49.99,"Bicycles > Jerseys > Jerseys","","http://www.bicyclebuys.com/productimages/0790182PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","LGWREXR2PART","Louis Garneau Women's Revo XR2 Road Cycling Shoe","Louis Garneau Women's Revo XR2 Road Cycling Shoe has all the features of a road shoe that a rider wants. 2 front velcro and a ratchet closure system for a nice tight fit. Carbon-nylon outsole with patented multi-vent system for stiffness and great airflow","http://www.bicyclebuys.com/item/LGWREXR2PART/nt",99.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/LGWREXR2PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1010072PART","Shimano Deore RD-M591 SGS Rear Derailleur","Shimano Deore RD-M591 SGS Rear Derailleur is a 8 or 9 speed rear derailleur which will serve as an excellent upgrade for most bikes, or an inexpensive replacement for mid to high end bikes. Top normal.","http://www.bicyclebuys.com/item/1010072PART/nt",49.99,"Bicycles > Rear Derailleur > Rear Derailleur","","http://www.bicyclebuys.com/productimages/1010072PART.jpg","","Yes","New","Discontinued Item ","",.45,"","","",""
"Sugoi","0790409PART","Sugoi RS Short '12","Sugoi's top selling, award winning, race dominating, comfy-as-a-silk-cloud RS Short is back for 2011 with a slight upgrade to sweeten the deal.  They've dumped the old silicone leg gripper for a much more comfortable elastic one that hold even better!","http://www.bicyclebuys.com/item/0790409PART/nt",109.99,"Bicycles > Shorts > Cycle Shorts","","http://www.bicyclebuys.com/productimages/0790409PART.jpg","","Yes","New","","",.45,"","","",""
"SIDI","0150132","Sidi Rubber Heel Pad Replacement Universal Size Red","This Sidi Rubber Heel Pad Replacement fits Full Carbon Sole and Millenium 2 Sole.  May only be used with shoes without rivet at the back of the sole. Remove one or both nubs on heel pad's underside with clippers if necessary.","http://www.bicyclebuys.com/item/0150132/nt",16.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/0150132.jpg","","Yes","New","","",.45,"","","",""
"CatEye","0114203PART","CatEye HL-EL010 Uno Headlight","Never get caught without a light. The Uno represents the perfect light for every day around-town commuting or for an emergency light for when you stay late at the café.This light has evolved from a unit with multiple batteries and LEDs to a significantly ","http://www.bicyclebuys.com/item/0114203PART/nt",26.99,"Bicycles > LightSets > Head Lights","","http://www.bicyclebuys.com/productimages/0114203PART.jpg","","Yes","New","","",.45,"","","",""
"BikeHard","1630501PART","BikeHard Road Racing Bar Tape","BikeHard Road Racing Cushioned Bar Tape.  Bar covering for any road handlebar.  Highest quality material to absorb road shock and hand moisture.  Self sticking backing insures that the tape is secure and tight without premature unraveling.  Comes with 2 C","http://www.bicyclebuys.com/item/1630501PART/nt",9.99,"Bicycles > Handlebar Tape/Grips > Handlebar Tape / Grips","","http://www.bicyclebuys.com/productimages/1630501PART.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Louis Garneau","0790127PART","Louis Garneau Neo Power Short","Louis Garneau Neo Power Short is part of Louis Garneau's Road Performance apparel group. With Ergonomic fit incorporating 12 panels, this short provides a rider the maximum body contour for pedaling motion.","http://www.bicyclebuys.com/item/0790127PART/nt",109.99,"Bicycles > Shorts > Cycle Shorts","","http://www.bicyclebuys.com/productimages/0790127PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790128PART","Louis Garneau Neo Power Bib Short","Louis Garneau Neo Power Bib Short is part of Louis Garneau's Road Performance apparel group. With Ergonomic fit incorporating 12 panels, this bib provides a rider the maximum body contour for pedaling motion.","http://www.bicyclebuys.com/item/0790128PART/nt",119.99,"Bicycles > Bib (short & tight) > Bibs (short & tight)","","http://www.bicyclebuys.com/productimages/0790128PART.jpg","","Yes","New","","",.45,"","","",""
"Skyway","0509474PART","Skyway Tuff II Wheelset","Skyway Tuff II Wheelset.  The original wheelset for BMX racing and freestyle.  3/8 axle. 20 diameter.","http://www.bicyclebuys.com/item/0509474PART/nt",99.99,"Bicycles > BMX Wheels > BMX Wheels","","http://www.bicyclebuys.com/productimages/0509474.jpg","","Yes","New","","",.45,"","","",""
"Campagnolo","0100008","Campagnolo Ergo Gear/Brake Cable Set","Campagnolo Gear/Brake Cable Set is the original manufacturer cable set. This is composed of 2 brake cables, 2 shifter cables, and all appropriate housing + bits. It is compatible with all Ergo 10 speed shifter-levers.","http://www.bicyclebuys.com/item/0100008/nt",44.99,"Bicycles > Cables > Cables","","http://www.bicyclebuys.com/productimages/0100087.jpg","","Yes","New","","",.45,"","","",""
"Diadora","DIXCC9PART","Diadora X-Country Comp Mountain Shoe","Diadora X-Country Comp shoe has a Nylon-Glass reinforced outsole.  Two straps and a ratchet buckle provide a custom snug fit.  A competitive shoe for an entry level price.  SPD compatible sole.","http://www.bicyclebuys.com/item/DIXCC9PART/nt",69.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/DIXCC9PART.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0100214PART","Blackburn Air Stik SL Pump","Blackburn Air Stik SL Pump has unique two chamber design makes for 37% more air per stroke when compared to other pumps at the same size. This candy bar hand pump weighs only 58 grams with max 160psi.","http://www.bicyclebuys.com/item/0100214PART/nt",24.99,"Bicycles > Pumps > Frame Pumps","","http://www.bicyclebuys.com/productimages/0100214PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0803100PART","Louis Garneau Windscreen","Louis Garneau Windscreen is for the Crono, Rocket Air and Superleggra Helmets.  Protect your eyes with this Polycarbonate facial protector.","http://www.bicyclebuys.com/item/0803100PART/nt",32.99,"Bicycles > Helmets > Road Helmets","","http://www.bicyclebuys.com/productimages/0803100PART.jpg","","Yes","New","","",.45,"","","",""
"Sram","1010258PART","SRAM Rival Front Derailleur (Black)","SRAM Rival Front Derailleur is compatible with both standard and compact cranksets.  Available for Braz-on frames as well as clamp on 31.8.","http://www.bicyclebuys.com/item/1010258PART/nt",49.99,"Bicycles > Front Derailleur > Front Derailleurs","","http://www.bicyclebuys.com/productimages/1010258PART.jpg","","Yes","New","","",.45,"","","",""
"Sram","1428837","Sram Rival Brake Caliper Set Black","Sram Rival Brakes provide powerful braking and positve progressive response.  Cold Forged arms in a Dual Pivot dsesign.  Long lasting compund on an adjustable cartridge holder.  Includes front and rear calipers and washers.","http://www.bicyclebuys.com/item/1428837/nt",89.99,"Bicycles > Brakes > Brakes-Standard","","http://www.bicyclebuys.com/productimages/1428837.jpg","","Yes","New","","",.45,"","","",""
"Michelin","0603171-R","Michelin Krylion Carbon 700x23C Black/Red Strip Tire 700x23c Black/Red","The Michelin Krylion Carbon is the ideal training tire, featuring a smooth ride, low rolling resistance and high performance. The Krylion Carbon lets you pile on the kilometers without worry. Its carcass incorporates no less than four protective barriers,","http://www.bicyclebuys.com/item/0603171-R/nt",34.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603171.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Sram","1010259PART","Sram Front Derailleur Clamp Adapter","Sram Front Derailleur Clamp Adapter allows you to mount a braze-on front derailleur to a clamp style frame.","http://www.bicyclebuys.com/item/1010259PART/nt",16.99,"Bicycles > Front Derailleur > Front Derailleurs","","http://www.bicyclebuys.com/productimages/1010259PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1011000PART","Shimano Dura-Ace CS-7900 10-Speed Cassette","Shimano Dura-Ace 7900 10-Speed Cassette.  Shifting has been even further improved by creating an even more rigid (and lighter) aluminum carrier unit along with re-engineered teeth profile. Cassette design is lighter as Shimano has developed a super lightw","http://www.bicyclebuys.com/item/1011000PART/nt",219.99,"Bicycles > Cassettes > Cassettes","","http://www.bicyclebuys.com/productimages/1011000PART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Shimano","1011004","Shimano Dura-Ace CN-7901 10-Speed Chain","Shimano Dura-Ace CN-7901 10-Speed Chain.  The new asymmetric design of the Dura-Ace Redesigned plates that improve the contact interface with the cogs. Other improvements to the links provide greater durability and life with less noise and smoother functi","http://www.bicyclebuys.com/item/1011004/nt",59.99,"Bicycles > Chains > Chains","","http://www.bicyclebuys.com/productimages/1011004.jpg","","Yes","New","","",.45,"","","",""
"Bellwether","0720780PART","Bellwether Coldfront Booties","Bellwether Strech Coldfront Bootie.  Designed for the coldest of cold, these rugged booties are made for the brave who ride no matter what mother nature says.","http://www.bicyclebuys.com/item/0720780PART/nt",34.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0720780PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","0126846-30","Cannondale Speedster 30 Seat Bag","Cannondale Speedster 30 Seat Bag is perfect for a minimalist that wants to carry an extra tube, a small multi-tool, and maybe some emergency cash.. Its belly is made from EPO Tarpaulin which resists road grimes and dirt sticking on to the bag. Single stra","http://www.bicyclebuys.com/item/0126846-30/nt",17.99,"Bicycles > Bags > Seat Bags","","http://www.bicyclebuys.com/productimages/0126846-30.jpg","","Yes","New","","",.45,"","","",""
